Chromosome	position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
chr1	1	0.59873210765004	0
chr1	1010	0.0652325359819231	9.02818297987551e-05
chr1	2394	1.39972962917455	0.00568220169835243
chr1	6389	0.0652325359819231	0.00583367164690074
chr1	8711	1.40320141484082	0.00653807875714918
chr1	9213	0.21508788654998	0.0092557142037073
chr1	21848	21.2368526589218	0.0106361096265388
chr1	21913	2.7606610626406	0.021872000151486
chr1	25983	0.0761988297344376	0.0222458316101637
chr1	30889	0.0181838937582403	0.0223897389453676
chr1	38803	0.115327487030213	0.0240113587404984
chr1	52864	4.65982207485692	0.0356236353510404
chr1	55356	0.115327487030213	0.0365590565983425
chr1	63467	0.0382392796165229	0.0365670868470609
chr1	63677	0.0130131771546409	0.036677191338967
chr1	72138	0.000350896763544871	0.0366845801721176
chr1	93195	3.82087668056635e-09	0.0366845803081439
chr1	128796	3.7999242650037e-16	0.0366845803081439
chr1	130938	1.96981887304711e-16	0.0366845803081439
chr1	138486	5.08873443198806e-17	0.0366845803081439
chr1	142098	2.43841936752996e-25	0.0366845803081439
chr1	147469	0.125892589476905	0.0377949529473298
chr1	156289	0.0800415015967688	0.0388423760372234
chr1	169375	13.5310731466163	0.0459055962197574
chr1	169897	0.0800415015967688	0.0462226406075814
chr1	173858	23.7357660972661	0.0484300668546283
chr1	173951	5.38713326921026	0.0503855962313509
chr1	174314	5.10947542204433e-07	0.0503855965312781
chr1	174901	5.77295874160008e-05	0.0503856525867086
chr1	175872	0.459261970146064	0.0532854326662111
chr1	182186	0.625462922026675	0.0613495261199013
chr1	195079	0.542942212390897	0.0619880261616714
chr1	196255	0.417449125338985	0.0620556529199767
chr1	196417	0.0150196302273485	0.0621208531347932
chr1	200758	6.06264033709519	0.068050115384473
chr1	201736	0.0150196302273485	0.0683256054421015
chr1	220078	0.00324903306429337	0.0683392253887085
chr1	224270	4.61621608972073e-25	0.0683392253887085
chr1	228180	6.70141226135917e-40	0.0683392253887085
chr1	246938	1.13768786791388e-38	0.0683392253887085
chr1	280541	6.39878259686615e-42	0.0683392253887085
chr1	285954	0.00441512478857351	0.0684375502177517
